Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
4.15,9369.999886
4.76,9460.000038
5.11,9930.000305
4.77,9470.000267
4.19,9260.000229
3.8,10050.00019
5.39,10220.00027
5.46,0.0
20.77,54630.0
22.03,56280.0
21.97,55599.99847
22.79,58189.99863
20.86,56349.99847
20.05,55919.99817
20.9,55459.99908
23.4,53849.99847
22.85,53009.99832
17.59,47840.00015
18.59,47880.00107
17.62,46909.99985
16.19,43430.00031
12.1,40759.99832
10.54,40630.00107
11.24,43380.00107
12.51,44250.0
13.25,46439.99863
12.43,46400.00153
13.2,46380.00107
13.2,0.0
0.0,2230.0
0.0,2160.0
0.01,2240.00001
0.01,2230.000019
0.01,2319.999933
0.01,2289.999962
0.01,2329.999924
0.0,2380.000114
0.0,2180.000067
0.0,2109.999895
0.0,1960.000038
0.0,1889.999986
0.0,1860.000014
0.0,2029.999971
0.0,2049.999952
0.0,2059.999943
0.0,1629.999995
0.0,1669.999957
0.0,1700.000048
0.0,1639.999986
0.0,0.0
475.35,937860.0
491.01,953540.0
517.51,985450.0122
545.36,1011770.02
567.86,1085670.044
579.32,1136469.971
599.24,1215209.961
636.68,1336739.99
674.27,1424380.005
728.56,1564880.005
771.78,1659979.98
828.16,1756739.99
893.45,1909439.941
